
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% best.test.arff 
%
% Created by split_data.py on Sunday, 17 October 2010
% Code at http://bit.ly/read_arff
%
% 60 instances
% 35 attributes + 1 class = 36 columns
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

@RELATION soybean-weka.filters.unsupervised.attribute.ReplaceMissingValues

@ATTRIBUTE class           {diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot,brown-stem-rot,powdery-mildew,downy-mildew,brown-spot,bacterial-blight,bacterial-pustule,purple-seed-stain,anthracnose,phyllosticta-leaf-spot,alternarialeaf-spot,frog-eye-leaf-spot,diaporthe-pod-&-stem-blight,cyst-nematode,2-4-d-injury,herbicide-injury}
@ATTRIBUTE date            {april,may,june,july,august,september,october}
@ATTRIBUTE plant-stand     {normal,lt-normal}
@ATTRIBUTE precip          {lt-norm,norm,gt-norm}
@ATTRIBUTE temp            {lt-norm,norm,gt-norm}
@ATTRIBUTE hail            {yes,no}
@ATTRIBUTE crop-hist       {diff-lst-year,same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs}
@ATTRIBUTE area-damaged    {scattered,low-areas,upper-areas,whole-field}
@ATTRIBUTE severity        {minor,pot-severe,severe}
@ATTRIBUTE seed-tmt        {none,fungicide,other}
@ATTRIBUTE germination     {90-100,80-89,lt-80}
@ATTRIBUTE plant-growth    {norm,abnorm}
@ATTRIBUTE leaves          {norm,abnorm}
@ATTRIBUTE leafspots-halo  {absent,yellow-halos,no-yellow-halos}
@ATTRIBUTE leafspots-marg  {w-s-marg,no-w-s-marg,dna}
@ATTRIBUTE leafspot-size   {lt-1/8,gt-1/8,dna}
@ATTRIBUTE leaf-shread     {absent,present}
@ATTRIBUTE leaf-malf       {absent,present}
@ATTRIBUTE leaf-mild       {absent,upper-surf,lower-surf}
@ATTRIBUTE stem            {norm,abnorm}
@ATTRIBUTE lodging         {yes,no}
@ATTRIBUTE stem-cankers    {absent,below-soil,above-soil,above-sec-nde}
@ATTRIBUTE canker-lesion   {dna,brown,dk-brown-blk,tan}
@ATTRIBUTE fruiting-bodies {absent,present}
@ATTRIBUTE external-decay  {absent,firm-and-dry,watery}
@ATTRIBUTE mycelium        {absent,present}
@ATTRIBUTE int-discolor    {none,brown,black}
@ATTRIBUTE sclerotia       {absent,present}
@ATTRIBUTE fruit-pods      {norm,diseased,few-present,dna}
@ATTRIBUTE fruit-spots     {absent,colored,brown-w/blk-specks,distort,dna}
@ATTRIBUTE seed            {norm,abnorm}
@ATTRIBUTE mold-growth     {absent,present}
@ATTRIBUTE seed-discolor   {absent,present}
@ATTRIBUTE seed-size       {norm,lt-norm}
@ATTRIBUTE shriveling      {absent,present}
@ATTRIBUTE roots           {norm,rotted,galls-cysts}

@DATA
frog-eye-leaf-spot, september, normal, gt-norm, norm, yes, diff-lst-year, low-areas, minor, fungicide, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm
frog-eye-leaf-spot, september, normal, gt-norm, norm, yes, same-lst-sev-yrs, scattered, pot-severe, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm
frog-eye-leaf-spot, september, normal, gt-norm, norm, yes, same-lst-sev-yrs, scattered, pot-severe, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm
frog-eye-leaf-spot, september, normal, gt-norm, norm, yes, same-lst-yr, upper-areas, minor, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm
herbicide-injury, may, lt-normal, gt-norm, lt-norm, yes, same-lst-yr, scattered, pot-severe, none, 80-89, abnorm, abnorm, no-yellow-halos, no-w-s-marg, gt-1/8, absent, present, absent, abnorm, yes, absent, dna, absent, absent, absent, none, absent, dna, absent, norm, absent, absent, norm, absent, rotted
phyllosticta-leaf-spot, july, lt-normal, norm, gt-norm, yes, same-lst-sev-yrs, upper-areas, minor, fungicide, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, present, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm
phyllosticta-leaf-spot, july, lt-normal, norm, norm, yes, diff-lst-year, scattered, minor, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm
phytophthora-rot, july, lt-normal, gt-norm, gt-norm, yes, same-lst-two-yrs, low-areas, pot-severe, none, 80-89, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted
phytophthora-rot, july, lt-normal, gt-norm, norm, yes, same-lst-sev-yrs, low-areas, pot-severe, none, 80-89, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted
phytophthora-rot, june, lt-normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, low-areas, pot-severe, none, 80-89, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted
phytophthora-rot, june, lt-normal, gt-norm, gt-norm, yes, same-lst-two-yrs, low-areas, pot-severe, none, 80-89, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted
phytophthora-rot, june, lt-normal, gt-norm, gt-norm, yes, same-lst-yr, low-areas, pot-severe, none, 80-89, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, below-soil, dk-brown-blk, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted
phytophthora-rot, june, lt-normal, gt-norm, norm, no, same-lst-yr, low-areas, severe, none, lt-80, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, dk-brown-blk, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm
phytophthora-rot, june, lt-normal, gt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, none, 80-89, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted
phytophthora-rot, june, lt-normal, norm, gt-norm, yes, same-lst-two-yrs, low-areas, pot-severe, none, 80-89, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted
powdery-mildew, august, lt-normal, norm, lt-norm, yes, same-lst-two-yrs, upper-areas, minor, other, 90-100, norm, abnorm, absent, dna, dna, absent, absent, upper-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm
powdery-mildew, may, lt-normal, lt-norm, norm, yes, same-lst-sev-yrs, whole-field, pot-severe, other, 90-100, norm, abnorm, absent, dna, dna, absent, absent, upper-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm
purple-seed-stain, august, normal, gt-norm, norm, no, same-lst-yr, low-areas, minor, fungicide, lt-80, norm, norm, absent, dna, dna, absent, absent, absent, norm, yes, absent, tan, absent, absent, absent, none, absent, norm, absent, abnorm, absent, present, norm, absent, norm
purple-seed-stain, july, normal, gt-norm, lt-norm, no, diff-lst-year, scattered, minor, none, 80-89, norm, norm, absent, dna, dna, absent, absent, absent, norm, no, absent, tan, absent, absent, absent, none, absent, norm, absent, abnorm, absent, present, norm, absent, norm
rhizoctonia-root-rot, june, lt-normal, gt-norm, lt-norm, yes, same-lst-two-yrs, low-areas, pot-severe, none, 80-89, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, brown, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm
rhizoctonia-root-rot, may, lt-normal, gt-norm, lt-norm, yes, same-lst-two-yrs, low-areas, severe, none, lt-80, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, brown, absent, firm-and-dry, present, none, absent, dna, dna, norm, absent, absent, norm, absent, norm
